"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
12066,"i911mw","Active mobile-broadband subscriptions","i271mw","per 100 people",6,"AFG","Afghanistan","19.0436",2018,"","","Refers to the sum of active handset-based and computer-based (USB/dongles) mobile-broadband subscriptions that allow access to the Internet, divided by population and multiplied by 100"
12067,"i911MB_active","Data and voice mobile-broadband subscriptions","i271mw","per 100 people",6,"AFG","Afghanistan","16.1662",2018,"","","Refers to subscriptions to mobile-broadband services that allow access to the open Internet via HTTP and in which data services are contracted together with voice services (mobile voice and data plans) or as an add-on package to a voice plan. These are typically smartphone based subscriptions with voice and data services used in the same terminal, divided by population and multiplied by 100"
19303,"i992b","Fixed-broadband subscriptions",,"per 100 people",6,"AFG","Afghanistan","0.0435429",2018,"","","Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100"
12066,"i911mw","Active mobile-broadband subscriptions","i271mw","per 100 people",10,"ALB","Albania","62.5381",2018,"","","Refers to the sum of active handset-based and computer-based (USB/dongles) mobile-broadband subscriptions that allow access to the Internet, divided by population and multiplied by 100"
12067,"i911MB_active","Data and voice mobile-broadband subscriptions","i271mw","per 100 people",10,"ALB","Albania","58.4151",2018,"","","Refers to subscriptions to mobile-broadband services that allow access to the open Internet via HTTP and in which data services are contracted together with voice services (mobile voice and data plans) or as an add-on package to a voice plan. These are typically smartphone based subscriptions with voice and data services used in the same terminal, divided by population and multiplied by 100"
19303,"i992b","Fixed-broadband subscriptions",,"per 100 people",10,"ALB","Albania","12.5058",2018,"","","Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100"
12066,"i911mw","Active mobile-broadband subscriptions","i271mw","per 100 people",11,"DZA","Algeria","81.1217",2018,"","","Refers to the sum of active handset-based and computer-based (USB/dongles) mobile-broadband subscriptions that allow access to the Internet, divided by population and multiplied by 100"
12067,"i911MB_active","Data and voice mobile-broadband subscriptions","i271mw","per 100 people",11,"DZA","Algeria","77.302",2018,"","","Refers to subscriptions to mobile-broadband services that allow access to the open Internet via HTTP and in which data services are contracted together with voice services (mobile voice and data plans) or as an add-on package to a voice plan. These are typically smartphone based subscriptions with voice and data services used in the same terminal, divided by population and multiplied by 100"
19303,"i992b","Fixed-broadband subscriptions",,"per 100 people",11,"DZA","Algeria","7.21567",2018,"","","Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100"
12066,"i911mw","Active mobile-broadband subscriptions","i271mw","per 100 people",14,"AND","Andorra","61.9249",2018,"","","Refers to the sum of active handset-based and computer-based (USB/dongles) mobile-broadband subscriptions that allow access to the Internet, divided by population and multiplied by 100"
