"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",256,"SRB","Serbia","5400",2018,"","Regulatory Agency for Electronic Communications and Postal Services","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",256,"SRB","Serbia","1.98346e+009",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
372,"i81$","Annual investment in telecommunication services",,"USD",256,"SRB","Serbia","4.15874e+008",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
400,"i952","Revenue from all telecommunication services","i75$","per employee",256,"SRB","Serbia","141081",2018,"","","Refers to revenues from all telecommunication services divided by employees"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",256,"SRB","Serbia","20.967",2018,"","","Refers to annual investment divided by telecommunication revenues"
10,"i841f","Annual foreign investment in telecommunications",,"LCU",148,"MYS","Malaysia","3.2275e+010",2018,"","Malaysian Communications and Multimedia Commission","Annual foreign investment in telecommunications refers to investment during the financial year in telecommunication services (including fixed, mobile and Internet services) coming from foreign sources, also referred to as foreign direct investment
(FDI)"
253,"i51","Full-time equivalent telecommunication employees ",,"count",148,"MYS","Malaysia","37900",2018,"Revised figures from 37'500 reported in ITU Long Questionnaire 2020","Malaysian Communications and Multimedia Commission","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",148,"MYS","Malaysia","15200",2018,"Revised figures from 15'100 reported in ITU Long Questionnaire 2020","Malaysian Communications and Multimedia Commission","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",148,"MYS","Malaysia","8.27128e+009",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
372,"i81$","Annual investment in telecommunication services",,"USD",148,"MYS","Malaysia","1.5972e+009",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
400,"i952","Revenue from all telecommunication services","i75$","per employee",148,"MYS","Malaysia","218240",2018,"","","Refers to revenues from all telecommunication services divided by employees"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",148,"MYS","Malaysia","19.3102",2018,"","","Refers to annual investment divided by telecommunication revenues"
10,"i841f","Annual foreign investment in telecommunications",,"LCU",147,"MEX","Mexico","1.80741e+010",2018,"Mexican pesos Information as of December 2018.USD 939.3 million.","Instituto Federal de Telecomunicaciones","Annual foreign investment in telecommunications refers to investment during the financial year in telecommunication services (including fixed, mobile and Internet services) coming from foreign sources, also referred to as foreign direct investment
(FDI)"
253,"i51","Full-time equivalent telecommunication employees ",,"count",147,"MEX","Mexico","210194",2018,"Information as of December 2018.","Instituto Federal de Telecomunicaciones","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",147,"MEX","Mexico","69229",2018,"Information as of December 2018.","Instituto Federal de Telecomunicaciones","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
