"observation","time_period","ref_area","indicator","breakdown","unit_measure","value","flag","note"
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_asd/desi_hc_ictspec/pc_desi_hc_asd/HU/2021","2021","HU","desi_hc_asd","desi_hc_ictspec","pc_desi_hc_asd",0.126667,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_asd/desi_hc_ictspec/pc_desi_hc_asd/IT/2020","2020","IT","desi_hc_asd","desi_hc_ictspec","pc_desi_hc_asd",0.116667,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_asd/desi_hc_ictspec/pc_desi_hc_asd/LT/2020","2020","LT","desi_hc_asd","desi_hc_ictspec","pc_desi_hc_asd",0.103333,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi/desi_idt/pc_desi/AT/2020","2020","AT","desi","desi_idt","pc_desi",0.080141,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi/desi_idt/pc_desi/HR/2021","2021","HR","desi","desi_idt","pc_desi",0.085931,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi/desi_idt/pc_desi/IT/2021","2021","IT","desi","desi_idt","pc_desi",0.0928678,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi/desi_idt/pc_desi/SI/2021","2021","SI","desi","desi_idt","pc_desi",0.0892845,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_sliders/desi_idt/pc_desi_sliders/AT/2021","2021","AT","desi_sliders","desi_idt","pc_desi_sliders",0.354491,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_ai/pc_desi_idt_dtb/BE/2021","2021","BE","desi_idt_dtb","desi_idt_ai","pc_desi_idt_dtb",0.0248687,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_ai/pc_desi_idt_dtb/EE/2021","2021","EE","desi_idt_dtb","desi_idt_ai","pc_desi_idt_dtb",0.00746062,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_ai/pc_desi_idt_dtb/LU/2021","2021","LU","desi_idt_dtb","desi_idt_ai","pc_desi_idt_dtb",0.0323293,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_ai/pc_desi_idt_dtb/MT/2021","2021","MT","desi_idt_dtb","desi_idt_ai","pc_desi_idt_dtb",0.0248687,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_bigdat/pc_desi_idt_dtb/FI/2021","2021","FI","desi_idt_dtb","desi_idt_bigdat","pc_desi_idt_dtb",0.0576565,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_bigdat/pc_desi_idt_dtb/FR/2021","2021","FR","desi_idt_dtb","desi_idt_bigdat","pc_desi_idt_dtb",0.0579229,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt/desi_idt_di/pc_desi_idt/BE/2021","2021","BE","desi_idt","desi_idt_di","pc_desi_idt",0.0747734,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt/desi_idt_di/pc_desi_idt/LU/2021","2021","LU","desi_idt","desi_idt_di","pc_desi_idt",0.0551232,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt/desi_idt_di/pc_desi_idt/MT/2021","2021","MT","desi_idt","desi_idt_di","pc_desi_idt",0.0876244,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt/desi_idt_dtb/pc_desi_idt/AT/2021","2021","AT","desi_idt","desi_idt_dtb","pc_desi_idt",0.214664,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt/desi_idt_dtb/pc_desi_idt/BG/2021","2021","BG","desi_idt","desi_idt_dtb","pc_desi_idt",0.115916,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt/desi_idt_dtb/pc_desi_idt/DK/2021","2021","DK","desi_idt","desi_idt_dtb","pc_desi_idt",0.343741,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt/desi_idt_dtb/pc_desi_idt/IE/2021","2021","IE","desi_idt","desi_idt_dtb","pc_desi_idt",0.259533,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt/desi_idt_dtb/pc_desi_idt/LT/2021","2021","LT","desi_idt","desi_idt_dtb","pc_desi_idt",0.215387,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt/desi_idt_ecomm/pc_desi_idt/EE/2021","2021","EE","desi_idt","desi_idt_ecomm","pc_desi_idt",0.0537286,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt/desi_idt_ecomm/pc_desi_idt/LU/2021","2021","LU","desi_idt","desi_idt_ecomm","pc_desi_idt",0.0306548,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomm/desi_idt_ecomturn/pc_desi_idt_ecomm/CZ/2021","2021","CZ","desi_idt_ecomm","desi_idt_ecomturn","pc_desi_idt_ecomm",0.182224,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomm/desi_idt_ecomturn/pc_desi_idt_ecomm/EU/2021","2021","EU","desi_idt_ecomm","desi_idt_ecomturn","pc_desi_idt_ecomm",0.117963,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomm/desi_idt_ecomturn/pc_desi_idt_ecomm/LV/2021","2021","LV","desi_idt_ecomm","desi_idt_ecomturn","pc_desi_idt_ecomm",0.0713101,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_einv/pc_desi_idt_dtb/AT/2021","2021","AT","desi_idt_dtb","desi_idt_einv","pc_desi_idt_dtb",0.0219858,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_einv/pc_desi_idt_dtb/DE/2021","2021","DE","desi_idt_dtb","desi_idt_einv","pc_desi_idt_dtb",0.0176941,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_einv/pc_desi_idt_dtb/ES/2021","2021","ES","desi_idt_dtb","desi_idt_einv","pc_desi_idt_dtb",0.0328409,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_einv/pc_desi_idt_dtb/SI/2021","2021","SI","desi_idt_dtb","desi_idt_einv","pc_desi_idt_dtb",0.0583801,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_eis/pc_desi_idt_dtb/CZ/2021","2021","CZ","desi_idt_dtb","desi_idt_eis","pc_desi_idt_dtb",0.0633342,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_eis/pc_desi_idt_dtb/SK/2021","2021","SK","desi_idt_dtb","desi_idt_eis","pc_desi_idt_dtb",0.0518588,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_dtb/desi_idt_ictsust/pc_desi_idt_dtb/EL/2021","2021","EL","desi_idt_dtb","desi_idt_ictsust","pc_desi_idt_dtb",0.0502078,,
