STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_BM_GSR_MRCH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2017,1.0170209082271161E11,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Western & Central Africa,"Goods imports (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_BM_GSR_MRCH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2017,2.0557814757673E12,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Euro area,"Goods imports (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_BM_GSR_MRCH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2017,7.2553689786582E9,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"Goods imports (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_BM_GSR_MRCH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2017,5.09062388875584E9,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,"Goods imports (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_BM_GSR_MRCH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2018,2.3266825115521472E11,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Eastern & Southern Africa,"Goods imports (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_BM_GSR_MRCH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2018,1.1832288173390775E11,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Western & Central Africa,"Goods imports (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_BM_GSR_MRCH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2018,2.301221367312188E12,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Euro area,"Goods imports (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_BM_GSR_MRCH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2009,4.1584E10,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,"Venezuela, RB","Goods imports (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_BM_GSR_MRCH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2009,6.4703E10,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Vietnam,"Goods imports (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_BM_GSR_MRCH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2009,4.1766409669246E9,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Goods imports (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
