"","Indicator","Value","entity"
"4123","Sub10_Workforce",NA,"Congo, Democratic Rep."
"4124","I601_years_of_schooling",6.8,"Congo, Democratic Rep."
"4125","Sub11_Workforce_Skills",NA,"Congo, Democratic Rep."
"4126","I602_staff_training",3.2,"Congo, Democratic Rep."
"4127","I603_vocational_training",3.2,"Congo, Democratic Rep."
"4128","I604_graduates_skillset",3.2,"Congo, Democratic Rep."
"4129","I605_digital_skills",2.8,"Congo, Democratic Rep."
"4130","I606_skilled_employees",3.6,"Congo, Democratic Rep."
"4131","Sub12_Future_Workforce",NA,"Congo, Democratic Rep."
"4132","I501_healthy_life_expectancy",9.6,"Congo, Democratic Rep."
"4133","Sub13_Future_Workforce_Skills",NA,"Congo, Democratic Rep."
"4134","I608_critical_thinking",2.6,"Congo, Democratic Rep."
"4135","I609_pupil_teacher_ratio",33.2,"Congo, Democratic Rep."
"4136","P7_product_market",NA,"Congo, Democratic Rep."
"4137","Sub14_Domestic_Competition",NA,"Congo, Democratic Rep."
"4138","I701_distortive_taxes",3.2,"Congo, Democratic Rep."
"4139","I702_market_dominance",2.5,"Congo, Democratic Rep."
"4140","I703_competition_services",3.9,"Congo, Democratic Rep."
"4141","Sub15_Trade_Openess",NA,"Congo, Democratic Rep."
"4142","I704_non_tariff_barriers",4.1,"Congo, Democratic Rep."
"4143","I705_trade_tariffs",10.36,"Congo, Democratic Rep."
"4144","I706_tariffs_complexity",6.7,"Congo, Democratic Rep."
"4145","I707_border_clearance",2.4,"Congo, Democratic Rep."
"4146","P8_labour_market",NA,"Congo, Democratic Rep."
"4147","Sub16_Flexibility",NA,"Congo, Democratic Rep."
"4148","I801_redundancy_costs",10.3,"Congo, Democratic Rep."
"4149","I802_hiring_firing_practices",3.4,"Congo, Democratic Rep."
"4150","I803_labour_employer_relations",3.8,"Congo, Democratic Rep."
"4151","I804_wage_flexibility",4.8,"Congo, Democratic Rep."
"4152","I805_labour_market_policies",2.1,"Congo, Democratic Rep."
"4153","I806_workers_rights",72,"Congo, Democratic Rep."
"4154","I807_foreign_labour_hiring",3.8,"Congo, Democratic Rep."
"4155","I808_internal_labour_mobility",3.8,"Congo, Democratic Rep."
"4156","Sub17_Meritocracy",NA,"Congo, Democratic Rep."
"4157","I809_reliance_on_management",3.5,"Congo, Democratic Rep."
"4158","I810_pay_productivity",2.8,"Congo, Democratic Rep."
"4159","I811_gender_pay_gap",0.3,"Congo, Democratic Rep."
"4160","I812_labour_tax",12.6,"Congo, Democratic Rep."
"4161","P9_financial_system",NA,"Congo, Democratic Rep."
"4162","Sub18_Depth",NA,"Congo, Democratic Rep."
"4163","I901_credit_to_private_sector",6.4,"Congo, Democratic Rep."
"4164","I902_financing_SME",2.5,"Congo, Democratic Rep."
"4165","I903_venture_capital",2.1,"Congo, Democratic Rep."
"4166","I904_market_capitalization",0,"Congo, Democratic Rep."
"4167","I905_insurance_premium",NA,"Congo, Democratic Rep."
"4168","Sub19_Stability",NA,"Congo, Democratic Rep."
"4169","I906_banks_soundness",3,"Congo, Democratic Rep."
"4170","I907_non_performing_loans",7.2,"Congo, Democratic Rep."
"4171","I908_credit_gap",-1.3,"Congo, Democratic Rep."
"4172","I909_regulatory_capital",24.5,"Congo, Democratic Rep."
"4173","P10_market_size",NA,"Congo, Democratic Rep."
"4174","I1001_GDP_PPP",65,"Congo, Democratic Rep."
"4175","I1002_imports",16.8,"Congo, Democratic Rep."
"4176","P11_dynamism",NA,"Congo, Democratic Rep."
"4177","Sub20_Administrative_Requirements",NA,"Congo, Democratic Rep."
"4178","I1101_starting_business_cost",26.7,"Congo, Democratic Rep."
"4179","I1102_starting_business_time",7,"Congo, Democratic Rep."
"4180","I1103_insolvency_recovery_rate",0,"Congo, Democratic Rep."
"4181","I1104_insolvency_regulations",0,"Congo, Democratic Rep."
"4182","Sub21_Entrepreneurial_Culture",NA,"Congo, Democratic Rep."
"4183","I1105_risk_attitudes",3.2,"Congo, Democratic Rep."
"4184","I1106_delegating_authority",3.4,"Congo, Democratic Rep."
"4185","I1107_innovating_companies",3.1,"Congo, Democratic Rep."
"4186","I1108_disruptive_ideas",3,"Congo, Democratic Rep."
"4187","P12_innovation",NA,"Congo, Democratic Rep."
"4188","Sub22_Diversity",NA,"Congo, Democratic Rep."
"4189","I1201_workforce_diversity",3.2,"Congo, Democratic Rep."
"4190","I1202_cluster_development",2.4,"Congo, Democratic Rep."
"4191","I1203_international_inventions",0,"Congo, Democratic Rep."
"4192","I1204_stakeholder_collaboration",3,"Congo, Democratic Rep."
"4193","Sub23_Research_Development",NA,"Congo, Democratic Rep."
"4194","I1205_scientific_publications",55.7,"Congo, Democratic Rep."
"4195","I1206_patents",0,"Congo, Democratic Rep."
"4196","I1207_RnD_expenditures",0.1,"Congo, Democratic Rep."
"4197","I1208_research_institutions",0,"Congo, Democratic Rep."
"4198","Sub24_Commercialization",NA,"Congo, Democratic Rep."
"4199","I1209_buyer_sophistication",2.4,"Congo, Democratic Rep."
"4200","I1210_trademarks",0,"Congo, Democratic Rep."
"4201","P1_institutions",NA,"Costa Rica"
"4202","Sub1_Security",NA,"Costa Rica"
"4203","I101_organized_crime",4.5,"Costa Rica"
"4204","I102_homicide",12.3,"Costa Rica"
"4205","I103_terrorism",100,"Costa Rica"
"4206","I104_police",4.6,"Costa Rica"
"4207","Sub2_Social_Capital",NA,"Costa Rica"
"4208","Sub2_Social_Capital",54.5,"Costa Rica"
"4209","Sub3_Checks_Balances",NA,"Costa Rica"
"4210","I106_transparency",56,"Costa Rica"
"4211","I107_judicial_independence",4.5,"Costa Rica"
"4212","I108_challenging_regulations",3.6,"Costa Rica"
"4213","I09_press_freedom",12.2,"Costa Rica"
"4214","Sub4_Public_Sector",NA,"Costa Rica"
"4215","I110_gov_burden",2.7,"Costa Rica"
"4216","I111_settling_disputes",3.7,"Costa Rica"
"4217","I112_e_participation",0.77,"Costa Rica"
"4218","Sub5_Transparency",NA,"Costa Rica"
"4219","I113_corruption",56,"Costa Rica"
"4220","I114_property_rights",NA,"Costa Rica"
"4221","I114_property_rights",5,"Costa Rica"
"4222","I115_intellectual_property_protection",4.6,"Costa Rica"
"4223","I116_land_administration",17.5,"Costa Rica"
"4224","Sub6_Corporate_Governance",NA,"Costa Rica"
"4225","I117_auditing_accounting_standards",5.2,"Costa Rica"
"4226","I118_interest_conflict_regulation",6,"Costa Rica"
"4227","I119_shareholder_governance",3.7,"Costa Rica"
"4228","Sub7_Government_Orientation",NA,"Costa Rica"
"4229","I120_policy_stability",4.4,"Costa Rica"
"4230","I121_response_to_change",3.1,"Costa Rica"
"4231","I122_digital_business_laws",3.6,"Costa Rica"
"4232","I123_gov_long_term_vision",3,"Costa Rica"
"4233","I124_energy_regulations",32,"Costa Rica"
"4234","I125_renewable_energy",51.7,"Costa Rica"
"4235","I126_environment_treaties",23,"Costa Rica"
"4236","P2_infrastructure",NA,"Costa Rica"
"4237","Sub8_Transport_Infrastructure",NA,"Costa Rica"
"4238","I201_road_connectivity",63.3,"Costa Rica"
"4239","I202_quality_of_roads",3,"Costa Rica"
"4240","I203_railroad_density",NA,"Costa Rica"
"4241","I204_train_efficiency",NA,"Costa Rica"
"4242","I205_airport_connectivity",26539.3,"Costa Rica"
"4243","I206_air_transport_efficiency",4.8,"Costa Rica"
"4244","I207_shipping_connectivity",15.6,"Costa Rica"
"4245","I208_seaport_efficiency",3.9,"Costa Rica"
"4246","Sub9_Utility_Infrastructure",NA,"Costa Rica"
"4247","I209_electricity_access",99.3,"Costa Rica"
"4248","I210_electricity_supply",10.2,"Costa Rica"
"4249","I211_unsafe_drinking_water",6.5,"Costa Rica"
"4250","I212_water_supply",6,"Costa Rica"
"4251","P3_ICT_adoption",NA,"Costa Rica"
"4252","I301_cellular_subscription",169.9,"Costa Rica"
"4253","I302_mobile_broadband",97.2,"Costa Rica"
"4254","I303_fixed_broadband",16.6,"Costa Rica"
"4255","I304_fibre_internet",0.4,"Costa Rica"
"4256","I305_internet_users",74.1,"Costa Rica"
"4257","P4_macro_stability",NA,"Costa Rica"
"4258","I401_inflation",2,"Costa Rica"
"4259","I402_debt_dynamic",48.7,"Costa Rica"
"4260","P5_health",NA,"Costa Rica"
"4261","I501_healthy_life_expectancy",69.8,"Costa Rica"
"4262","P6_skills",NA,"Costa Rica"
"4263","Sub10_Workforce",NA,"Costa Rica"
"4264","I601_years_of_schooling",8.6,"Costa Rica"
"4265","Sub11_Workforce_Skills",NA,"Costa Rica"
"4266","I602_staff_training",4.3,"Costa Rica"
"4267","I603_vocational_training",5,"Costa Rica"
"4268","I604_graduates_skillset",4.9,"Costa Rica"
"4269","I605_digital_skills",4.9,"Costa Rica"
"4270","I606_skilled_employees",4.8,"Costa Rica"
"4271","Sub12_Future_Workforce",NA,"Costa Rica"
"4272","I501_healthy_life_expectancy",15.4,"Costa Rica"
"4273","Sub13_Future_Workforce_Skills",NA,"Costa Rica"
"4274","I608_critical_thinking",3.7,"Costa Rica"
"4275","I609_pupil_teacher_ratio",12,"Costa Rica"
"4276","P7_product_market",NA,"Costa Rica"
"4277","Sub14_Domestic_Competition",NA,"Costa Rica"
"4278","I701_distortive_taxes",3.5,"Costa Rica"
"4279","I702_market_dominance",4.1,"Costa Rica"
"4280","I703_competition_services",5.2,"Costa Rica"
"4281","Sub15_Trade_Openess",NA,"Costa Rica"
"4282","I704_non_tariff_barriers",4,"Costa Rica"
"4283","I705_trade_tariffs",3.59,"Costa Rica"
"4284","I706_tariffs_complexity",6.5,"Costa Rica"
"4285","I707_border_clearance",2.6,"Costa Rica"
"4286","P8_labour_market",NA,"Costa Rica"
"4287","Sub16_Flexibility",NA,"Costa Rica"
"4288","I801_redundancy_costs",18.7,"Costa Rica"
"4289","I802_hiring_firing_practices",3.6,"Costa Rica"
"4290","I803_labour_employer_relations",5.2,"Costa Rica"
"4291","I804_wage_flexibility",4.5,"Costa Rica"
"4292","I805_labour_market_policies",2.8,"Costa Rica"
"4293","I806_workers_rights",86,"Costa Rica"
"4294","I807_foreign_labour_hiring",4,"Costa Rica"
"4295","I808_internal_labour_mobility",4.6,"Costa Rica"
"4296","Sub17_Meritocracy",NA,"Costa Rica"
"4297","I809_reliance_on_management",4.8,"Costa Rica"
"4298","I810_pay_productivity",4.3,"Costa Rica"
"4299","I811_gender_pay_gap",0.64,"Costa Rica"
"4300","I812_labour_tax",32.7,"Costa Rica"
"4301","P9_financial_system",NA,"Costa Rica"
"4302","Sub18_Depth",NA,"Costa Rica"
"4303","I901_credit_to_private_sector",59.5,"Costa Rica"
"4304","I902_financing_SME",3.6,"Costa Rica"
"4305","I903_venture_capital",2.7,"Costa Rica"
"4306","I904_market_capitalization",5.2,"Costa Rica"
"4307","I905_insurance_premium",1.8,"Costa Rica"
"4308","Sub19_Stability",NA,"Costa Rica"
"4309","I906_banks_soundness",5.5,"Costa Rica"
"4310","I907_non_performing_loans",2.1,"Costa Rica"
"4311","I908_credit_gap",1.1,"Costa Rica"
"4312","I909_regulatory_capital",16.4,"Costa Rica"
"4313","P10_market_size",NA,"Costa Rica"
"4314","I1001_GDP_PPP",78,"Costa Rica"
"4315","I1002_imports",33.9,"Costa Rica"
"4316","P11_dynamism",NA,"Costa Rica"
"4317","Sub20_Administrative_Requirements",NA,"Costa Rica"
"4318","I1101_starting_business_cost",9.5,"Costa Rica"
"4319","I1102_starting_business_time",23,"Costa Rica"
"4320","I1103_insolvency_recovery_rate",29.3,"Costa Rica"
"4321","I1104_insolvency_regulations",6,"Costa Rica"
"4322","Sub21_Entrepreneurial_Culture",NA,"Costa Rica"
"4323","I1105_risk_attitudes",4,"Costa Rica"
"4324","I1106_delegating_authority",4.8,"Costa Rica"
"4325","I1107_innovating_companies",4,"Costa Rica"
"4326","I1108_disruptive_ideas",3.7,"Costa Rica"
"4327","P12_innovation",NA,"Costa Rica"
"4328","Sub22_Diversity",NA,"Costa Rica"
"4329","I1201_workforce_diversity",5.1,"Costa Rica"
"4330","I1202_cluster_development",3.9,"Costa Rica"
"4331","I1203_international_inventions",0.39,"Costa Rica"
"4332","I1204_stakeholder_collaboration",3.8,"Costa Rica"
"4333","Sub23_Research_Development",NA,"Costa Rica"
"4334","I1205_scientific_publications",163,"Costa Rica"
"4335","I1206_patents",0.87,"Costa Rica"
"4336","I1207_RnD_expenditures",0.5,"Costa Rica"
"4337","I1208_research_institutions",0,"Costa Rica"
"4338","Sub24_Commercialization",NA,"Costa Rica"
"4339","I1209_buyer_sophistication",3.8,"Costa Rica"
"4340","I1210_trademarks",1623.46,"Costa Rica"
"4341","P1_institutions",NA,"Côte d'Ivoire"
"4342","Sub1_Security",NA,"Côte d'Ivoire"
"4343","I101_organized_crime",3.4,"Côte d'Ivoire"
"4344","I102_homicide",41.2,"Côte d'Ivoire"
"4345","I103_terrorism",100,"Côte d'Ivoire"
"4346","I104_police",3.4,"Côte d'Ivoire"
"4347","Sub2_Social_Capital",NA,"Côte d'Ivoire"
"4348","Sub2_Social_Capital",41.4,"Côte d'Ivoire"
"4349","Sub3_Checks_Balances",NA,"Côte d'Ivoire"
"4350","I106_transparency",24,"Côte d'Ivoire"
"4351","I107_judicial_independence",2.7,"Côte d'Ivoire"
"4352","I108_challenging_regulations",3.2,"Côte d'Ivoire"
"4353","I09_press_freedom",29.5,"Côte d'Ivoire"
"4354","Sub4_Public_Sector",NA,"Côte d'Ivoire"
"4355","I110_gov_burden",3.4,"Côte d'Ivoire"
"4356","I111_settling_disputes",3.9,"Côte d'Ivoire"
"4357","I112_e_participation",0.17,"Côte d'Ivoire"
"4358","Sub5_Transparency",NA,"Côte d'Ivoire"
"4359","I113_corruption",35,"Côte d'Ivoire"
"4360","I114_property_rights",NA,"Côte d'Ivoire"
"4361","I114_property_rights",3.9,"Côte d'Ivoire"
"4362","I115_intellectual_property_protection",3.9,"Côte d'Ivoire"
"4363","I116_land_administration",10.5,"Côte d'Ivoire"
"4364","Sub6_Corporate_Governance",NA,"Côte d'Ivoire"
"4365","I117_auditing_accounting_standards",3.9,"Côte d'Ivoire"
"4366","I118_interest_conflict_regulation",4.3,"Côte d'Ivoire"
"4367","I119_shareholder_governance",3.7,"Côte d'Ivoire"
"4368","Sub7_Government_Orientation",NA,"Côte d'Ivoire"
"4369","I120_policy_stability",4,"Côte d'Ivoire"
"4370","I121_response_to_change",3.7,"Côte d'Ivoire"
"4371","I122_digital_business_laws",3.7,"Côte d'Ivoire"
"4372","I123_gov_long_term_vision",4.3,"Côte d'Ivoire"
"4373","I124_energy_regulations",43.2,"Côte d'Ivoire"
"4374","I125_renewable_energy",54.3,"Côte d'Ivoire"
"4375","I126_environment_treaties",26,"Côte d'Ivoire"
"4376","P2_infrastructure",NA,"Côte d'Ivoire"
"4377","Sub8_Transport_Infrastructure",NA,"Côte d'Ivoire"
"4378","I201_road_connectivity",77.7,"Côte d'Ivoire"
"4379","I202_quality_of_roads",3.6,"Côte d'Ivoire"
"4380","I203_railroad_density",2,"Côte d'Ivoire"
"4381","I204_train_efficiency",2.9,"Côte d'Ivoire"
"4382","I205_airport_connectivity",5367.2,"Côte d'Ivoire"
"4383","I206_air_transport_efficiency",4.6,"Côte d'Ivoire"
"4384","I207_shipping_connectivity",16.8,"Côte d'Ivoire"
"4385","I208_seaport_efficiency",4,"Côte d'Ivoire"
"4386","Sub9_Utility_Infrastructure",NA,"Côte d'Ivoire"
"4387","I209_electricity_access",59.9,"Côte d'Ivoire"
"4388","I210_electricity_supply",19.4,"Côte d'Ivoire"
"4389","I211_unsafe_drinking_water",65.6,"Côte d'Ivoire"
"4390","I212_water_supply",3.9,"Côte d'Ivoire"
"4391","P3_ICT_adoption",NA,"Côte d'Ivoire"
"4392","I301_cellular_subscription",134.9,"Côte d'Ivoire"
"4393","I302_mobile_broadband",61.6,"Côte d'Ivoire"
"4394","I303_fixed_broadband",0.7,"Côte d'Ivoire"
"4395","I304_fibre_internet",0,"Côte d'Ivoire"
"4396","I305_internet_users",46.8,"Côte d'Ivoire"
"4397","P4_macro_stability",NA,"Côte d'Ivoire"
"4398","I401_inflation",0.6,"Côte d'Ivoire"
"4399","I402_debt_dynamic",50,"Côte d'Ivoire"
"4400","P5_health",NA,"Côte d'Ivoire"
"4401","I501_healthy_life_expectancy",54.2,"Côte d'Ivoire"
"4402","P6_skills",NA,"Côte d'Ivoire"
"4403","Sub10_Workforce",NA,"Côte d'Ivoire"
"4404","I601_years_of_schooling",4.4,"Côte d'Ivoire"
"4405","Sub11_Workforce_Skills",NA,"Côte d'Ivoire"
"4406","I602_staff_training",4,"Côte d'Ivoire"
"4407","I603_vocational_training",4.2,"Côte d'Ivoire"
"4408","I604_graduates_skillset",3.8,"Côte d'Ivoire"
"4409","I605_digital_skills",3.8,"Côte d'Ivoire"
"4410","I606_skilled_employees",4.6,"Côte d'Ivoire"
"4411","Sub12_Future_Workforce",NA,"Côte d'Ivoire"
"4412","I501_healthy_life_expectancy",9.6,"Côte d'Ivoire"
"4413","Sub13_Future_Workforce_Skills",NA,"Côte d'Ivoire"
"4414","I608_critical_thinking",3.2,"Côte d'Ivoire"
"4415","I609_pupil_teacher_ratio",42.4,"Côte d'Ivoire"
"4416","P7_product_market",NA,"Côte d'Ivoire"
"4417","Sub14_Domestic_Competition",NA,"Côte d'Ivoire"
"4418","I701_distortive_taxes",3.6,"Côte d'Ivoire"
"4419","I702_market_dominance",3.3,"Côte d'Ivoire"
"4420","I703_competition_services",4.7,"Côte d'Ivoire"
"4421","Sub15_Trade_Openess",NA,"Côte d'Ivoire"
"4422","I704_non_tariff_barriers",4.1,"Côte d'Ivoire"
"4423","I705_trade_tariffs",10.19,"Côte d'Ivoire"
"4424","I706_tariffs_complexity",6.7,"Côte d'Ivoire"
"4425","I707_border_clearance",2.8,"Côte d'Ivoire"
"4426","P8_labour_market",NA,"Côte d'Ivoire"
"4427","Sub16_Flexibility",NA,"Côte d'Ivoire"
"4428","I801_redundancy_costs",13.1,"Côte d'Ivoire"
"4429","I802_hiring_firing_practices",4,"Côte d'Ivoire"
"4430","I803_labour_employer_relations",4.8,"Côte d'Ivoire"
"4431","I804_wage_flexibility",5.4,"Côte d'Ivoire"
"4432","I805_labour_market_policies",2.3,"Côte d'Ivoire"
"4433","I806_workers_rights",73,"Côte d'Ivoire"
"4434","I807_foreign_labour_hiring",4.5,"Côte d'Ivoire"
"4435","I808_internal_labour_mobility",5,"Côte d'Ivoire"
"4436","Sub17_Meritocracy",NA,"Côte d'Ivoire"
"4437","I809_reliance_on_management",4,"Côte d'Ivoire"
"4438","I810_pay_productivity",3.3,"Côte d'Ivoire"
"4439","I811_gender_pay_gap",0.3,"Côte d'Ivoire"
"4440","I812_labour_tax",23.3,"Côte d'Ivoire"
"4441","P9_financial_system",NA,"Côte d'Ivoire"
"4442","Sub18_Depth",NA,"Côte d'Ivoire"
"4443","I901_credit_to_private_sector",24.6,"Côte d'Ivoire"
"4444","I902_financing_SME",2.5,"Côte d'Ivoire"
"4445","I903_venture_capital",2,"Côte d'Ivoire"
"4446","I904_market_capitalization",5.7,"Côte d'Ivoire"
"4447","I905_insurance_premium",1.2,"Côte d'Ivoire"
"4448","Sub19_Stability",NA,"Côte d'Ivoire"
"4449","I906_banks_soundness",4.2,"Côte d'Ivoire"
"4450","I907_non_performing_loans",9.4,"Côte d'Ivoire"
"4451","I908_credit_gap",2.5,"Côte d'Ivoire"
"4452","I909_regulatory_capital",9,"Côte d'Ivoire"
"4453","P10_market_size",NA,"Côte d'Ivoire"
"4454","I1001_GDP_PPP",95,"Côte d'Ivoire"
"4455","I1002_imports",32.7,"Côte d'Ivoire"
"4456","P11_dynamism",NA,"Côte d'Ivoire"
"4457","Sub20_Administrative_Requirements",NA,"Côte d'Ivoire"
"4458","I1101_starting_business_cost",2.7,"Côte d'Ivoire"
"4459","I1102_starting_business_time",6,"Côte d'Ivoire"
"4460","I1103_insolvency_recovery_rate",36.9,"Côte d'Ivoire"
"4461","I1104_insolvency_regulations",9,"Côte d'Ivoire"
"4462","Sub21_Entrepreneurial_Culture",NA,"Côte d'Ivoire"
"4463","I1105_risk_attitudes",3.3,"Côte d'Ivoire"
"4464","I1106_delegating_authority",4,"Côte d'Ivoire"
"4465","I1107_innovating_companies",3.7,"Côte d'Ivoire"
"4466","I1108_disruptive_ideas",3.4,"Côte d'Ivoire"
"4467","P12_innovation",NA,"Côte d'Ivoire"
"4468","Sub22_Diversity",NA,"Côte d'Ivoire"
"4469","I1201_workforce_diversity",4.3,"Côte d'Ivoire"
"4470","I1202_cluster_development",3.3,"Côte d'Ivoire"
"4471","I1203_international_inventions",0.01,"Côte d'Ivoire"
"4472","I1204_stakeholder_collaboration",3.5,"Côte d'Ivoire"
"4473","Sub23_Research_Development",NA,"Côte d'Ivoire"
"4474","I1205_scientific_publications",104.7,"Côte d'Ivoire"
"4475","I1206_patents",0.01,"Côte d'Ivoire"
"4476","I1207_RnD_expenditures",NA,"Côte d'Ivoire"
"4477","I1208_research_institutions",0,"Côte d'Ivoire"
"4478","Sub24_Commercialization",NA,"Côte d'Ivoire"
"4479","I1209_buyer_sophistication",2.8,"Côte d'Ivoire"
"4480","I1210_trademarks",331.78,"Côte d'Ivoire"
"4481","P1_institutions",NA,"Croatia"
"4482","Sub1_Security",NA,"Croatia"
"4483","I101_organized_crime",4.7,"Croatia"
"4484","I102_homicide",1.1,"Croatia"
"4485","I103_terrorism",100,"Croatia"
"4486","I104_police",4.3,"Croatia"
"4487","Sub2_Social_Capital",NA,"Croatia"
"4488","Sub2_Social_Capital",45.9,"Croatia"
"4489","Sub3_Checks_Balances",NA,"Croatia"
"4490","I106_transparency",57,"Croatia"
"4491","I107_judicial_independence",2.4,"Croatia"
"4492","I108_challenging_regulations",2,"Croatia"
"4493","I09_press_freedom",29,"Croatia"
"4494","Sub4_Public_Sector",NA,"Croatia"
"4495","I110_gov_burden",1.9,"Croatia"
"4496","I111_settling_disputes",1.9,"Croatia"
"4497","I112_e_participation",0.77,"Croatia"
"4498","Sub5_Transparency",NA,"Croatia"
"4499","I113_corruption",48,"Croatia"
"4500","I114_property_rights",NA,"Croatia"
"4501","I114_property_rights",3.8,"Croatia"
"4502","I115_intellectual_property_protection",3.8,"Croatia"
"4503","I116_land_administration",23.5,"Croatia"
"4504","Sub6_Corporate_Governance",NA,"Croatia"
"4505","I117_auditing_accounting_standards",3.9,"Croatia"
"4506","I118_interest_conflict_regulation",5.7,"Croatia"
"4507","I119_shareholder_governance",7.7,"Croatia"
"4508","Sub7_Government_Orientation",NA,"Croatia"
"4509","I120_policy_stability",2.6,"Croatia"
"4510","I121_response_to_change",2.2,"Croatia"
"4511","I122_digital_business_laws",2.7,"Croatia"
"4512","I123_gov_long_term_vision",1.9,"Croatia"
"4513","I124_energy_regulations",64.5,"Croatia"
"4514","I125_renewable_energy",56,"Croatia"
"4515","I126_environment_treaties",26,"Croatia"
"4516","P2_infrastructure",NA,"Croatia"
"4517","Sub8_Transport_Infrastructure",NA,"Croatia"
"4518","I201_road_connectivity",78.6,"Croatia"
"4519","I202_quality_of_roads",5.6,"Croatia"
"4520","I203_railroad_density",46.6,"Croatia"
"4521","I204_train_efficiency",2.4,"Croatia"
"4522","I205_airport_connectivity",62572.6,"Croatia"
"4523","I206_air_transport_efficiency",4.8,"Croatia"
"4524","I207_shipping_connectivity",38.4,"Croatia"
"4525","I208_seaport_efficiency",4.7,"Croatia"
"4526","Sub9_Utility_Infrastructure",NA,"Croatia"
"4527","I209_electricity_access",100,"Croatia"
"4528","I210_electricity_supply",9.8,"Croatia"
"4529","I211_unsafe_drinking_water",4.6,"Croatia"
"4530","I212_water_supply",6.2,"Croatia"
"4531","P3_ICT_adoption",NA,"Croatia"
"4532","I301_cellular_subscription",105.6,"Croatia"
"4533","I302_mobile_broadband",79.5,"Croatia"
"4534","I303_fixed_broadband",27,"Croatia"
"4535","I304_fibre_internet",1.3,"Croatia"
"4536","I305_internet_users",72.7,"Croatia"
"4537","P4_macro_stability",NA,"Croatia"
"4538","I401_inflation",1.3,"Croatia"
"4539","I402_debt_dynamic",80,"Croatia"
"4540","P5_health",NA,"Croatia"
"4541","I501_healthy_life_expectancy",67.4,"Croatia"
"4542","P6_skills",NA,"Croatia"
"4543","Sub10_Workforce",NA,"Croatia"
"4544","I601_years_of_schooling",11.2,"Croatia"
"4545","Sub11_Workforce_Skills",NA,"Croatia"
"4546","I602_staff_training",3.3,"Croatia"
"4547","I603_vocational_training",3.5,"Croatia"
"4548","I604_graduates_skillset",3.4,"Croatia"
"4549","I605_digital_skills",3.7,"Croatia"
"4550","I606_skilled_employees",3.2,"Croatia"
"4551","Sub12_Future_Workforce",NA,"Croatia"
"4552","I501_healthy_life_expectancy",15,"Croatia"
"4553","Sub13_Future_Workforce_Skills",NA,"Croatia"
"4554","I608_critical_thinking",2.3,"Croatia"
"4555","I609_pupil_teacher_ratio",13.5,"Croatia"
"4556","P7_product_market",NA,"Croatia"
"4557","Sub14_Domestic_Competition",NA,"Croatia"
"4558","I701_distortive_taxes",3.4,"Croatia"
"4559","I702_market_dominance",3.1,"Croatia"
"4560","I703_competition_services",4.9,"Croatia"
"4561","Sub15_Trade_Openess",NA,"Croatia"
"4562","I704_non_tariff_barriers",5,"Croatia"
"4563","I705_trade_tariffs",1.05,"Croatia"
"4564","I706_tariffs_complexity",2.9,"Croatia"
"4565","I707_border_clearance",3,"Croatia"
"4566","P8_labour_market",NA,"Croatia"
"4567","Sub16_Flexibility",NA,"Croatia"
"4568","I801_redundancy_costs",15.1,"Croatia"
"4569","I802_hiring_firing_practices",2.6,"Croatia"
"4570","I803_labour_employer_relations",3.4,"Croatia"
"4571","I804_wage_flexibility",5,"Croatia"
"4572","I805_labour_market_policies",3.3,"Croatia"
"4573","I806_workers_rights",90,"Croatia"
"4574","I807_foreign_labour_hiring",3,"Croatia"
"4575","I808_internal_labour_mobility",3.4,"Croatia"
"4576","Sub17_Meritocracy",NA,"Croatia"
"4577","I809_reliance_on_management",3.4,"Croatia"
"4578","I810_pay_productivity",3.4,"Croatia"
"4579","I811_gender_pay_gap",0.82,"Croatia"
"4580","I812_labour_tax",19.4,"Croatia"
"4581","P9_financial_system",NA,"Croatia"
"4582","Sub18_Depth",NA,"Croatia"
"4583","I901_credit_to_private_sector",60.7,"Croatia"
"4584","I902_financing_SME",3.5,"Croatia"
"4585","I903_venture_capital",2.6,"Croatia"
"4586","I904_market_capitalization",39.2,"Croatia"
"4587","I905_insurance_premium",2.3,"Croatia"
"4588","Sub19_Stability",NA,"Croatia"
"4589","I906_banks_soundness",5.1,"Croatia"
"4590","I907_non_performing_loans",11.2,"Croatia"
"4591","I908_credit_gap",-12.3,"Croatia"
"4592","I909_regulatory_capital",22.2,"Croatia"
"4593","P10_market_size",NA,"Croatia"
"4594","I1001_GDP_PPP",95,"Croatia"
"4595","I1002_imports",55,"Croatia"
"4596","P11_dynamism",NA,"Croatia"
"4597","Sub20_Administrative_Requirements",NA,"Croatia"
"4598","I1101_starting_business_cost",6.6,"Croatia"
"4599","I1102_starting_business_time",22.5,"Croatia"
"4600","I1103_insolvency_recovery_rate",34.8,"Croatia"
"4601","I1104_insolvency_regulations",12,"Croatia"
"4602","Sub21_Entrepreneurial_Culture",NA,"Croatia"
"4603","I1105_risk_attitudes",3,"Croatia"
"4604","I1106_delegating_authority",3.6,"Croatia"
"4605","I1107_innovating_companies",3.4,"Croatia"
"4606","I1108_disruptive_ideas",3,"Croatia"
"4607","P12_innovation",NA,"Croatia"
"4608","Sub22_Diversity",NA,"Croatia"
"4609","I1201_workforce_diversity",3.3,"Croatia"
"4610","I1202_cluster_development",2.8,"Croatia"
"4611","I1203_international_inventions",1.04,"Croatia"
"4612","I1204_stakeholder_collaboration",3,"Croatia"
