nr;entity;GDP
189;Antigua and Barbuda;$2,208,000,000
190;Guinea-Bissau;$2,186,000,000
191;Seychelles;$2,178,000,000
192;San Marino;$2,082,000,000
193;Timor-Leste;$2,015,000,000
194;Solomon Islands;$1,778,000,000
195;Turks and Caicos;$1,745,378,000
196;Sint Maarten;$1,735,210,228
197;British Virgin Islands;$1,505,856,107
198;Comoros;$1,442,000,000
199;Grenada;$1,395,000,000
200;Samoa;$1,176,000,000
201;St. Vincent & Grenadines;$1,162,000,000
202;Northern Mariana Islands;$1,096,000,000
203;Vanuatu;$1,090,000,000
204;Saint Kitts & Nevis;$1,079,000,000
205;American Samoa;$871,000,000
206;Sao Tome and Principe;$828,000,000
207;Dominica;$698,000,000
208;Saint Martin;$649,206,156
209;Tonga;$558,000,000
210;Micronesia;$471,000,000
211;Anguilla;$415,735,284
212;Cook Islands;$366,211,548
213;Palau;$322,000,000
214;Kiribati;$308,000,000
215;Marshall Islands;$281,000,000
216;Nauru;$162,000,000
217;Montserrat;$80,429,630
218;Tuvalu;$56,000,000
